PKG001|Cox's Bazar Beach Tour|Cox's Bazar|15000.0|3|Beautiful beach resort with sea view|true|LOCAL|FAMILY
PKG012|Tangail Handloom Village Tour|Tangail|7000.0|1|Visit traditional handloom villages and learn weaving techniques|true|LOCAL|FAMILY
PKG011|Panchagarh Tea Garden Tour|Panchagarh|9500.0|2|Tea garden and nature tour in the northern hills|true|LOCAL|FAMILY
PKG003|Thailand Paradise|Bangkok, Thailand|45000.0|7|Exotic Thailand tour with cultural experience|true|INTERNATIONAL|COUPLE
PKG014|Chittagong City Tour|Chittagong|10000.0|1|Explore the port city of Chittagong with hills and beaches|true|LOCAL|FAMILY
PKG002|Sundarbans Mangrove Tour|Sundarbans|12000.0|2|Wildlife and mangrove forest adventure|true|LOCAL|ADVENTURE
PKG013|Jaflong Hill and Tea Garden Tour|Jaflong|11000.0|2|Hills and tea garden tour near India border with stone collection|true|LOCAL|ADVENTURE
PKG010|Kuakata Sea Beach Tour|Kuakata|12000.0|2|Sunset and sunrise sea beach - the only place to see both from same spot|true|LOCAL|FAMILY
PKG020|Rural Village Experience Tour|Paharpur|8500.0|1|Village and cultural tour with rural life experience|true|LOCAL|FAMILY
PKG009|Mahasthangarh Archaeological Tour|Bogura|8500.0|1|Explore the ancient city ruins and archaeological sites|true|LOCAL|HISTORICAL
PKG008|Paharpur Buddhist Monastery Tour|Paharpur|9000.0|1|Visit the ancient Buddhist monastery - UNESCO World Heritage Site|true|LOCAL|HISTORICAL
PKG019|Bagerhat Mosque Tour|Bagerhat|9000.0|1|UNESCO World Heritage mosques including Sixty Dome Mosque|true|LOCAL|HISTORICAL
PKG005|Rangamati Hill Tracts Tour|Rangamati|13000.0|3|Hill tracts and lake tour with tribal culture experience|true|LOCAL|ADVENTURE
PKG016|Myanmar Border Tour|Bandarban|16000.0|3|Visit the border area with Myanmar and explore remote villages|true|LOCAL|ADVENTURE
PKG004|Sylhet City Tour|Sylhet|11000.0|2|Explore the natural beauty of Sylhet including Ratargul Swamp Forest|true|LOCAL|FAMILY
PKG015|Saint Martin's Island Tour|Saint Martin's Island|18000.0|3|Island beach and coral tour - Bangladesh's only coral island|true|LOCAL|COUPLE
PKG007|Dhaka City Heritage Tour|Dhaka|8000.0|1|Historical sites in Dhaka including Lalbagh Fort and Ahsan Manzil|true|LOCAL|HISTORICAL
PKG018|Kaptai Lake Tour|Rangamati|13000.0|2|Boat tour on Kaptai Lake with hanging bridge and tribal villages|true|LOCAL|FAMILY
PKG006|Bandarban Adventure Tour|Bandarban|14000.0|3|Adventure and trekking in Bandarban hills with waterfall visits|true|LOCAL|ADVENTURE
PKG017|Lalbagh Fort Tour|Dhaka|7500.0|1|Historical fort in Dhaka with Mughal architecture|true|LOCAL|HISTORICAL
